iter,elapsed_s,episode_return_agent0,episode_return_agent1,episode_return_team,episode_return_mean,steps,rescued_frac,rescued_count,l_elbo,l_cpc,l_rho,l_cov,exp_critic_loss,exp_policy_loss,alpha_exp_mean,exe_critic_loss,exe_policy_loss,alpha_exe
10,119.0,-28.505447387695312,-79.73825073242188,-108.24369812011719,-54.121849060058594,350,0.03515625,0.140625,263202.46875,0.0,0.36998724937438965,0.5943645238876343,2.264277935028076,2.5394692420959473,0.19990235567092896,16694.84765625,-165.78408813476562,0.19958443939685822
11,129.6,-18.45421600341797,-26.337017059326172,-44.79123306274414,-22.39561653137207,350,0.0,0.0,36508.109375,0.0,0.25790169835090637,0.3640575408935547,3.1461992263793945,2.2472057342529297,0.19988054037094116,234.58389282226562,362.7804260253906,0.19953256845474243
12,140.2,-35.897254943847656,-34.27225112915039,-70.16950988769531,-35.084754943847656,350,0.0,0.0,31095.68359375,0.0,0.22568607330322266,0.0873238816857338,5.060274124145508,3.0847578048706055,0.19985297322273254,208.92788696289062,289.936279296875,0.19948044419288635
13,151.1,-18.655065536499023,-28.827880859375,-47.482948303222656,-23.741474151611328,350,0.01171875,0.046875,70834.859375,0.0,0.2800753712654114,2.0240135192871094,3.1649813652038574,2.683812379837036,0.1998220980167389,283660.25,295.8865966796875,0.19942760467529297
14,162.1,-13.255032539367676,-74.73160552978516,-87.98664093017578,-43.99332046508789,350,0.0,0.0,43258.78515625,0.0,0.17928533256053925,0.020198920741677284,3.7149875164031982,4.216450214385986,0.1997944563627243,16.3581485748291,608.3426513671875,0.19937364757061005
15,173.0,-8.386189460754395,-107.86274719238281,-116.24893951416016,-58.12446975708008,350,0.0,0.0,26477.3046875,0.0,0.22317419946193695,0.05452880635857582,1.881791591644287,3.004599094390869,0.19976584613323212,1919.5267333984375,367.87261962890625,0.19932478666305542
16,183.7,-23.445556640625,-125.86742401123047,-149.31298828125,-74.656494140625,350,0.0,0.0,10704.822265625,0.0,0.3091784715652466,0.003671822836622596,3.0557267665863037,3.7683470249176025,0.1997365951538086,12.756155014038086,705.2164306640625,0.1992793083190918
17,194.9,-23.433902740478516,-93.13704681396484,-116.57095336914062,-58.28547668457031,350,0.0,0.0,34663.7265625,0.0,0.19022220373153687,0.013281082734465599,1.609041452407837,2.8928208351135254,0.19970569014549255,49413.3828125,93.21211242675781,0.1992330700159073
18,206.1,-5.0996575355529785,-78.04496002197266,-83.14461517333984,-41.57230758666992,350,0.0,0.0,19353.14453125,2.742461919784546,0.16423550248146057,0.05128013342618942,1.000584363937378,2.1623942852020264,0.1996702253818512,5573.3994140625,365.9326477050781,0.1991964876651764
19,216.8,-33.14142608642578,-67.38362884521484,-100.52505493164062,-50.26252746582031,350,0.0,0.0,29422.15234375,0.0,0.3084881603717804,0.09780096262693405,0.8448145389556885,1.2087689638137817,0.19963088631629944,643.4003295898438,230.85556030273438,0.1991557478904724
20,227.6,-20.500179290771484,-59.34895706176758,-79.84913635253906,-39.92456817626953,350,0.0546875,0.21875,227618.4375,0.0,0.15413767099380493,0.2723836600780487,1.4674949645996094,2.447873592376709,0.19959001243114471,64519.5546875,-74.304931640625,0.199123352766037
21,238.3,-38.282135009765625,-56.52620315551758,-94.80833435058594,-47.40416717529297,350,0.078125,0.3125,106742.859375,0.0,0.2129604071378708,13.299278259277344,1.956228256225586,1.8208589553833008,0.19954806566238403,3012468.75,33.6373291015625,0.19909505546092987
22,249.0,-20.31161880493164,-45.585052490234375,-65.89666748046875,-32.948333740234375,350,0.0,0.0,25502.703125,0.0,0.18269208073616028,0.0302998349070549,1.9031238555908203,1.5948262214660645,0.19950290024280548,149.95191955566406,348.23822021484375,0.19905924797058105
